,평점,일시,감상평
133,10,2019.06.03 23:58,"제이크질렌할 눈빛 연기 해골빡또라지 모습같음,,,실화를 바탕으로 했다던데,,, 돈에 미친놈같은 연기,,,"
134,8,2019.05.11 00:51,제이크의 연기는 갑이다.
135,8,2019.05.09 13:04,초반에 좀 지루한데 신선하고 질렌할 연기 ㄷㄷ
136,10,2019.04.24 16:55,광기에 신들린 연기 참 잘해..
137,10,2018.11.05 22:59,"쿠~정말 잼있네요.명언(?)이 꽤 많이 나오는데 기억에 남는 짧은 대사는 &#39;&#39;난 사람들을 이해못하는게 아니야,싫은것 뿐이지&#39;&#39;..딴작품에선 제이크 눈이 참 선하다고 생각했는데 얇은 입술과 더불어 소시오패스가 이리도 잘어울리는 얼굴이 있을까 "
138,10,2018.06.29 18:02,대박... 인생 top영화 중에 하나.. 강력추천 반전 스릴러 공포 영화 좋아하는 사람들에게! 이영화를 보고 배우보고 믿고보는 의미를 알게됨 제이크질렌할 연기 최고
139,8,2017.09.16 23:38,블랙박스가 보편화되지 않은때에 찍은 영화인듯? 보편화되면 주인공 망한다. 거짓말을 밥먹듯하고 과대포장해서 말하는 언변 대단..진심 소름끼치는 캐릭터
140,7,2017.07.13 15:52,성공한 자들은 다 소시오 페스고 도둑놈일지 모른다.
141,10,2017.03.10 13:27,빠져든다 빠져들어...
142,9,2017.01.12 22:58,"아무래도 사용하는 언어가 다르다 보니 외국 배우의 연기를 보면서 연기를 잘한다고 판단하기가 쉽지 않을때가 많은데, 이 영화에서 제이크 질렌할은 비언어적인 모든 면에서 소름을 안겨줄만큼 완벽한 소시오패스의 모습을 보여주었다 "
143,8,2016.12.21 01:25,왠만한 스릴러보다 귀신나오는 공포영화보다 무섭다. 제이크 질렌할 걸음걸이까지 소시오패스같이 걷는다. 아오 재밌지만 찝찝한영화
