,평점,일시,감상평
869,6,2015.08.14 23:50,제이크 얘는 진짜 연기력으로 영화하는애네...솔까 이거 연기력 아니었으면 재미 개똥일 영화다
870,8,2015.08.05 01:42,기대 이상의 재미. 믿고보는 질렌할 영화
871,10,2015.07.23 01:44,또라이 연기 진짜 최고다
872,9,2015.07.19 18:01,좋아요좋아요좋아오오
873,8,2015.06.12 01:52,꽤 재밌었음...질렌할 연기 잘한다!
874,10,2015.04.15 19:02,어떻게 제이크질렌홀이 아카데미남우주연 후보에도 안올랐지?
875,7,2015.04.12 20:44,그냥그랬어용 막 엄청 감동적인건 아니에요
876,8,2015.04.06 23:22,영화 보면서 LA가 그리워서 죽는 줄 알았다....
877,7,2015.03.11 21:24,연기는 잘하는데 주인공 보는내내 밥맛인거는 나만그런가ㅋ
878,10,2015.03.08 23:23,간만에 잼있게 본 영화. 수작. 평점 8.5
879,10,2015.03.08 21:22,제이크 질랜할 연기 개소름ㅜㅜㅜㅜ한동안 계속 루가 생각나서 닭살돋을것같다
880,8,2015.03.08 12:23,8점은 됩니다....
881,9,2015.03.08 00:30,"극강의 각본과 연출, 질렌한 역대급의 미친 연기력. 2015년이 이제 시작이지만 단언컨데 올해 최고의 영화를 난 이미 봐버렸다."
882,6,2015.03.06 13:18,큰 기대없이 보면 좋을듯.. 그저 그런...
883,7,2015.03.04 01:54,앞부분 잠깐보니 그냥 예상가능했음.  그저 그랬음
884,7,2015.03.03 13:32,흥미진진 자본주의 까기 스릴러
885,8,2015.03.02 21:45,수작입니다. 질렌할 연기 뛰어나요.
886,10,2015.03.02 21:22,"정말 요즘 좌편향 방송사들의 왜곡, 거짓 보도가 난무하는 가운데 꼭 봐야할 영화, 좌편향 선동 방송 퇴출 시급"
887,10,2015.03.02 15:11,좋은영화 소시오패스영화중 역대급
888,7,2015.03.01 21:41,제이크길렌할의 연기 말고는 모두 기대이하인 스릴러
889,10,2015.03.01 19:05,기냥 후덜덜함... 평점 올려야지.
890,10,2015.03.01 17:14,제이크 질렌할의 연기는 10점!!
891,8,2015.03.01 14:16,주인공 연기 참 잘한다. 스토리도 탄탄하고. 괜찮은 영화다.
892,8,2015.03.01 03:21,내가하고있는일에대한 많은 생각이드는 영화!제이크질렌할의 연기도 최고!
893,8,2015.03.01 02:34,질랜할의 연기는 정말 후덜덜... 현실적이지만 막장인 스토리를 다 커버함
894,7,2015.02.28 20:10,영화 자체의  흥미보다는 제이크 질렌할의 뛰어난 연기가 이 영화의  핵심.
895,9,2015.02.28 17:03,시간가는줄 모르겟던데
896,9,2015.02.28 09:50,오늘밤도 그는 인간성을 거세하고  먹잇감을 찾아 도시를 누빈다...
897,10,2015.02.27 22:49,휘몰아치는 개감동을어떻게 주최할수가없다이글거리는 그 눈빛.. 프리즈너스에서의 형사 그눈핓이다올해최고의 스릴러는 이걸로 끝.나를찾아줘는 2순위로
898,8,2015.02.27 21:40,뭔가부족한 내용주인공 연기력은 좋아요
899,9,2015.02.27 19:34,"전반적으로 음침한 분위기로 진행 되는 범죄스릴러. 액션 스릴러처럼 극적인 장면은 없어도 충분히 스릴있게 꾸몄고, 질렌할의 사이코패스 연기가 정점을 찍는다."
900,8,2015.02.27 17:27,성공한 짐승이 아니라 실패한 인간이고 싶다.
901,6,2015.02.27 17:16,연출하는 언론과 그보다 못한 영화(의 연출)
902,10,2015.02.26 23:17,9점 줄 바에 10점 줄만한
903,9,2015.02.26 22:12,영화보면서 소름돋음 ㄷㄷ..
904,10,2015.02.26 19:07,나를찾아줘 이후로 최고로 소름돋는영화..자신의 이익을 위해서라면 남을 어떻게든 이용하는 천재 사이코패스 ..  하정우가 비교가안되는 배우는 처음 봄..
905,7,2015.02.26 17:49,병폐한 사회가 만들어낸 씁쓸한 인간상
906,10,2018.09.28 22:57,난 오늘 이 영화를 보고 인생의 철학이 바뀜을 느꼈다.
907,4,2016.02.19 20:15,"제이크의 연기는 좋았으나 뒷심이 부족하고 황당하네요,초 중반까지 잼있게 보다 가,후반부에 여경찰에게 취조실에서 조사받은 후에 무슨 반전에 기막힌 뭐가 있을줄알았는데,그냥  주인공이 회사를 설립하고 직원들에게 지시하며 끝나는 장면에 황당 그자체,끝난건가 "
908,2,2016.02.13 01:08,보기 거북한 영화...진심 역겹다...
909,6,2015.07.31 11:42,다 좋은데 갑자기 주인공이 기자를 하고싶다는거가 이해가 안되고 조금 더 재밋게 만들수 잇지 않앗을까 싶네
910,5,2015.03.05 15:40,보는 내내 기분이 언짢았던 영화.
911,7,2015.03.03 04:44,연기력은 10점 소재는 8점 하지만 영화 내내 미적지근한 느낌?은 ...
912,9,2015.02.28 18:19,"질렌할 연기는 그냥 최고다. 아카데미 노미네이트 못 받은 게 이상할 정도다. 질렌할은 안 보이고 캐릭터만 보인다. 스토리도, 시사하는 바가 많았다. 그러나 질렌할 캐릭터에 감정 이입이 되기엔, 너무 주변 캐릭터를 엿먹였다고나 할까. 카타르시스는 없다. "
913,8,2015.02.27 01:21,아카데미가 확인하는  일베와 TV조선의 속살.
914,7,2015.02.27 00:22,파트너 죽은장면 일시정지 해놓고 니나랑 루이스랑 가격협상하는 장면이 제일 소름돋음
915,10,2015.02.26 18:53,청년실업이 만들어낸 괴물과 시청률에 목메는 미디어. 그에 부응하는 시청자들. 충분히 있을법한 이야기. 죄의식의 말소는 부수적이지만 중요한건 아닌게 되어버린 세상에 대한 일갈. 불편하게도 주인공을 응원하게 되는 아이러니. 제이크 질렌할의 약빤 연기 
916,10,2015.02.26 18:49,간만에 재미있었어요! 제이크 질렌할 최고
917,10,2015.02.26 18:12,광기에 휩싸인 싸이코패스의 성공담(?). 비이성이 이성으로 바뀌는 순간이 더 소름돋는 냉혈한으로 재탄생하는 모습이다. 손에 피 한방울 안 묻히고도 그 주변을 갈기갈기 찢어놓는 현실성에 실화일까 두렵기까지 하다
918,10,2015.02.26 16:04,시간이 어떻게 갔는지 모르고 집중해서 봤다는.... 진짜 최근 몇년중에 최고의 스릴러인듯!!!
919,5,2015.03.22 14:07,이런류의 영화 그냥 짜증나기만한다
920,8,2015.03.02 12:14,전반적으로 볼만함 조조로 ㅎㅎ
921,10,2015.02.26 21:54,어둠의 다운 유혹을 참고 극장에서 감상한 보람이 있네요. 많이 기대한 만큼 재밌는 영화였습니다. 얼굴과 바꾼 제이크 질렌할의 물오른 연기가 감상 포인트.
922,10,2015.02.26 21:23,기대 이상으로 재밌었고 제이크 질렌할 연기는 진짜 소름...
923,5,2015.02.26 14:50,흔한 배드신도 없고 괜히 사장의 화를 돋구어 죽은 직원도 가관이고.
924,5,2015.02.26 16:50,결국은 돈 때문에 사람이 얼마나 밑바닥까지 갈 수 있는지를 보여주는듯... 남주인공 연기 나름 잘했고 뭔가 결말이 아쉬움. 똥을 싸다 중간에 끊고 나간거랄까
925,7,2015.02.28 20:18,질렌할 연기 빼곤 만듬새나 영화 곳곳에 헛점 투성.특히나 생뚱맞은 음악이 매우 불편했다.
926,9,2019.10.12 00:31,악마를 보았다.
927,6,2018.09.29 22:44,제이크 질렌할 연기는 정말 좋았다. 적당히 즐길수 있는 영화
928,7,2018.08.21 22:49,뭐니뭐니해도 이 영화의 묘미는 하비에르 바르디엠 이후 오랜만에 다시보는 질렌할의 맛탱이가 간 눈빛과 수려한 입담
929,10,2017.03.26 11:28,[노인을 위한 나라는 없다]의 하비에르 바르뎀과 비슷한 절대악...
930,8,2017.03.01 20:51,주인공 잘못될까봐 가슴조리며 봤음 ㅎㅎ
931,10,2017.02.27 00:03,극장에서 못본게 아쉽네요.멋진 배우 셋을 한꺼번에 보다니..진짜 영화 멋지네요
932,10,2017.02.24 17:17,"긴장감  넘치는 영화,  제이크 질렌할에 눈빛연기가 감명깊은 영화"
933,10,2017.02.02 00:06,숨겨진 명작입니다 현실세계에 있을법한 일이었고 GTA 게임에 나오는 불법취재를 좀더 디테일하게 보여준 느낌도 들어서 몰입이 된 영화 입니다 사회 생활에서 제일 중요한것은 본인이 일을 잘하고나서 가치를 인정받기를 원해야 한다라는 교훈을 얻었습니다 
934,10,2017.01.29 20:07,눈에 힘주고 목소리 톤 높여 꺾는 원패턴 악역 연기밖에 못하는 한국배우 99%들에게 보여주고 싶은 영화.
935,9,2016.11.15 16:07,형형한 눈빛에 서려있는 욕망과 광기. 질렌할의 유연한 캐릭터라이징.
936,10,2016.05.12 01:47,와 이런 엄청난 영화를 왜 이제와 본건지... 연기에 지렸다 긴장감이 이렇게 어마어마한 영화는 진짜 오랜만인듯
937,10,2016.04.01 17:17,"이렇게 깊이 있으면서 지루하지 않은건 연출, 각본, 연기 세가지 모두가 만족되었기 때문이 아닐까?"
938,10,2016.03.06 16:57,진심 개명작 10자10자
939,7,2016.02.29 10:00,질렌할 무서운놈이 나타났다
940,8,2016.02.22 20:37,우리나라 국민들을 한사람을 통해서 보는거같았다.
941,10,2016.02.13 11:52,"소스코드때 관심배우였는데. 정말 이 영화에서 연기력하나는 일품이네. 눈으로하는 연기는 정말  현존 영화중 최고. 이런 영화가 상영관에 많이 걸려야 하는데 만날 조폭영화, 검사 경찰나오는거만 봐야하는 현실이 안타깝다. "
942,10,2016.01.17 07:02,보는 내내 박진감 넘치고 제이크 질렌할의 OOO기에 소름돋음
943,10,2016.01.02 09:55,꼭 보세요. 너무 재밌네요.
944,10,2015.09.20 13:05,평점이 너무 낮네요. 연기력이 장난아닙니다! 꼭 보세요
945,10,2015.08.08 08:40,오~ 이 영화 개안넴! SKT 프리미엄에서 공짜 다운 받았는데 간만에 강추ㅈ영화를 봤다 남주 연기 너무 조앙!
946,9,2015.07.23 05:13,최근 본 스릴러 중에 최고였음.
947,9,2015.07.22 14:05,근래 본 영화중 스토리의 짜임새부터 배우의 연기력까지 최고였다.
948,9,2015.07.19 02:12,질렌할의 미친 연기에 감탄. 불편한 장면에서 흘러나오는 경쾌한 음악이 정말 구역질나도록 싫다. 그만큼 연출을 잘했다. 또다른 위플래쉬를 본 것 같은 느낌. 긍정적인 부분만 모아서 자극제로 삼을 수 있을듯.
949,8,2015.06.29 12:02,질렌할이 미소지을때마다 소름이 끼쳤다.
950,9,2015.06.24 00:39,집중할수밖에없는 영화다
951,10,2015.05.27 23:51,평점왜케낮지? 정말재밌게봄
952,10,2015.05.15 00:33,현재까진 2015 올해 최고의 영화
953,8,2015.04.30 22:10,질렌할이 이렇게 연기를 잘했었나...그저 그럼 액션배우라고만 생각했는데...
954,8,2015.04.30 11:46,평점 5점 이하는 99% 알바 or ㅄ 인증
955,8,2015.03.31 21:07,욕망적 관점에서의 공감과 도덕적 관점에서의 비공감. 정말로 무서운 점은 한국인들의 절반 이상이 결말조차도 공감할 것 같다는 점.
956,8,2015.03.29 16:56,"놀라운 사업수단과 사이코패스적인 광기. 때때로 주인공의 부도덕함에 어이없어 웃기도 하고, 스릴 있기도 하고."
957,9,2015.03.28 19:03,어우 제이크 질렌할 연기 소름돋네진짜...
958,10,2015.03.18 19:17,주옥같은 명대사들  ! !
959,9,2015.03.06 14:10,범죄 영화에 tv 보도 행태와 mba과정에서 나올 이야기를 섞고.나는 주인공이 살해될 줄 알았는데 미생을 죽이고 끝나네요.
960,7,2015.03.02 00:18,7점정도?dkajvkvhadsf
961,8,2015.03.01 23:14,매우 흥미있는 스크립트였으며 아카데미 후보작 다웠다.   제이크의 연기는 뛰어났지만 1% 부족.
962,10,2015.03.01 22:09,여태 본 영화중에 다섯손가락안에 꼽고 싶을 만큼이네요. 2시간여를 숨죽이며 봤습니다 더이상의 부연설명은 필요없고  추천 쿵~
963,9,2015.03.01 20:34,지금껏 본 영화 캐릭터 중에 가장 입체적이고 묘하게 매력적이다
964,10,2015.02.28 20:38,현대사회에 질문을 던지고 그것을 뉴스로표현하는 내용이죠 이런일이 있으면안되는구나엔딩은 아쉬움이 남는데요 끝이없고 계속 이어진다이거죠
965,8,2015.02.28 02:40,블랙코미디라고 ㄷ느낀건 나뿐인가? 연기도 연기이지만 각본이 대박.. 잘 쓴 영화인데 자막에 오역이 많아서 아쉬웠다. 음악이나 좀 쌩뚱맞은 장면들은 거슬렸지만 개인적으로 킹스맨 보다 훨씬 재밌었음.
966,10,2015.02.27 15:06,"대박,,, 제이크 질렌할 명연기 제이크 질렌할 실력 늘었더군요 프리즈너스 때보다 ㅋㅋㅋ휴잭맨을 뛰어넘을 유일한 배우"
967,10,2015.02.27 10:29,제이크 질렌할 연기의 정점
968,9,2015.02.27 02:15,큰 기대 안 했는데 정말 재밌네요. 잔인한 장면이나 귀신 없이도 무서운 영화군요. 올해 오스카는 이미테이션게임이 아니라 나이트크롤러가 탔어야 하는 것 아닌가요. 이런 소재도 신선하고 시사하는 주제도 너무 좋습니다.
969,9,2015.02.27 00:30,알바 아니다  진짜 스릴있다 극장가서 꼭 봐라 진짜인지 거짓말인지 알게 될꺼다
970,8,2015.02.26 20:19,연기력 대박... 시간가는줄 몰랐어요
971,8,2015.02.26 17:09,믿고보는 질렌할. 이번엔 소시오패스 연기..역시나 명불허전!
972,10,2015.02.26 16:19,제이크 질렌할의 매력을 다시 확인 할 수 있는 영화! 부담없는 스릴러임
973,7,2015.02.26 06:21,",.,.,.,.,."
974,5,2016.12.02 03:37,글쎄. 뭐 그냥 촬영하는 재미를 간접적으로 느낄 수 있다는 것 정도만 볼만하고 영화자체가 뭐 어쩌라는건지 모르겠는 전개임. 심문 장면은 심각하게 수준이 낮고..  그냥 똘끼 있는 카메라맨의 작은 성공스토리....정도로 보면 될려나. 딱 킬링타임용. 
975,10,2016.02.13 00:10,와아... 몰입도 작살.... 눈을 떼지 못하고 있다능.... 진짜 장난 아니네요
976,8,2015.12.31 11:01,우리나라꼬라지ㅇㅇㅇ
977,10,2015.10.31 19:42,"영화 주인공,대사,소재 하나하나마다 의미가 담겨져있다. 두번 정도 보면 다 이해갈꺼다."
978,8,2015.07.12 16:10,자기직업에 프로정신을 느끼면서 일하는 모습이 너무 아름답네요 자기직업에대한 열정을 잘보여준 영화네요
979,4,2015.04.05 10:16,비정한 미국식 자본주의의 폐해를 극단적인 싸이코패쓰를 통해 보여줌. 좀 비현실적이긴 하지만 우리나라는 다르다고 말할 수 있을까
980,6,2015.03.08 23:28,너무 기대햇나...내용은 별로... 끝이 밋밋함연기는 좋음
981,10,2015.03.06 20:56,질렌한의 마스크는 진짜 최고다..
982,8,2015.03.01 04:24,이정도면 돈아깝지 않게 꽤 재밌음. 반전없네 하는데 오히려 어설픈 권선징악보단 이게 훨씬더 현실적/비판하는거고. 썡뚱맞은음악 나도 좀 그랬는데 지금 생각해보면 일부러 그런거. 소시오패스입장에선 당연한거지 클래식틀어놓고 살인하는거랑 같은이치 
983,10,2015.02.28 21:34,볼만했습니다ㅎㅎㅎㅎ
984,10,2015.02.28 07:55,"대박영화 하나 또 나오네요. 킹스맨, 이미테이션게임, 나이트크롤러까지 근래에 영화 많이보는데도 정말 잘 만들고 재밌다보니 시간가는줄 모르겠군요"
985,7,2015.02.26 14:40,고용불안정에 대처하는 흔한 현대적 소시오패스의 일자리창출 프로젝트.
986,4,2015.08.13 22:11,볼만하긴한데다보고나면좀찜찜한느낌?
987,5,2015.03.03 19:27,대작 냄새가 나서 봤는데 실망스러웠음. 음악도 이상하고 사건 전개에 개연성도 없고 진짜 이상한 사이코를 &#39;캐치 미 이프유 캔&#39;에 나오는 천재 사기꾼 마냥 포장하는 것도 이상했음. 처음 반은 영화관에서 보는 영화가 맞나 싶을 정도로 지루했음. 비추임. 
988,6,2019.12.27 23:10,질렌할의 연기는 만점.연출도 볼만했다.저택에 카메라 들고 들어갈때는 내가 다 긴장되서 중간에 그만보고 싶었을정도.하지만 전체적인 스토리는 약간 아쉬움이남는다.더이상 얘기하면 스포가 되기때문에 여기까지.
989,6,2019.10.30 18:44,잘만들긴 했으나 별로다
990,5,2017.05.03 01:20,연기력은 인정하지만...참 그지 같은 스토리
991,7,2016.06.02 23:40,질할렌 보는데 자꾸 노홍철생각남
992,10,2016.01.07 17:20,아무래도 이거 블루레이로 사서 소장할만한 작품이 확실한것 같다숨겨진 명작임...이상하게 이런 영화들이 왜 기억에 남을까???
993,10,2015.08.15 01:07,이 영화가 왜 고작 7? 자본주의와 소수민족 차별을 향한 외침. 제이크 질렌할 소름끼친다.  댄 길로이 감독의 데뷔작이라고는 믿기지 않는 엄청난 영화
994,9,2015.07.26 22:38,알바색히 중간에 싫음 그만두던가~막판에 반땡하자는데 나조차 어이털림. 그러면서 식당 찍어오라니까 싫대ㅋㅋ 총 맞고 죽을 때 나름 후련하긴 처음~
995,10,2015.03.31 15:40,와...일에 대한 열정이...대단...아무것도 없는 밑바닥에서 원했던 회사의 창립까지...정말 대단하네요....앞으로 일을 어떻게 해야되고 어떻게 살아야되는지 명확히 제시해주네요 잘봤습니다
996,6,2015.03.04 09:49,난왜재미없지..술먹고 심야영화라서 그랬나ㅜㅜ
997,7,2015.03.01 00:11,제이크 질렌할의 연기는 여기서도 역시 엄청나다. 주인공이 너무 비열해서 1인칭 시점으로 영화를 볼 수 없게 만든다.
998,8,2015.02.28 08:00,"더욱더 강렬한 자극을 갈구하는, 목마른 이시대 군상들을 위한 광시곡. 음울함의 끝을 만든것은 제이크 질렌할의 연약하지만 굶주린 그 눈빛 그리고 아래서부터 올라오는 카메라워크의 기막힌 앙상블. 지금 이 순간도 레드카는 달린다. 피를 부르는 곳으로. "
999,4,2017.12.08 11:48,보는 내내 역겨워서 중간에 꺼버림.  그만큼 연기를 잘했나봄. 그래도 역겨움
1000,8,2017.06.20 18:27,바락바락 대드는 외노자 새끼 죽어서 속 시-원
1001,5,2017.02.02 02:10,소시오패스 영화? 사이코패스 영화? 제이크 질렌할의 미친 연기력은 대단했다..만 영화보는 내내 조마조마 심쿵심쿵.. 무섭다기 보다는 내 양심이 제이크 질렌할의 영화 속 행동들과 말들 하나하나에 충격을 받아서랄까? 이런 인간이 프로? 찝찝한 기분이다. 
1002,7,2015.08.15 07:47,재미는 있지만 조금 지루해요
1003,1,2017.02.12 23:58,비인간적이고 부도덕한 사람이 마지막까지 승리하는 요즘세상에 딱맞는 영화지만 난 이런사람들 응원하기 싫어서 별점 1점
1004,5,2015.03.04 21:16,재밌다 재밌다 해서 봣는데 별루 재미업서요
1005,5,2015.03.01 03:54,연출 배우들 연기력 다 좋으나 마지막결말에 반전이 없네. 여운을 남기는것보다는 바른결말을 이끌어내는게 더 깔끔하다고 봄. 먼가 아쉬운건 어쩔수없다 이런식의 결말은. 머스탱은 원츄
1006,1,2016.08.01 01:16,내용이 정말 쓰레기다.. 인간 말종 양아치가 성공하는걸 보여주는 영화..  진정 이런 양아치 인간 쓰레기가 성공하는걸 보여주고 싶은가... 다수의 정직한 사람들의 피해는 무시하는영화.. 픽션이지만 기분이 더럽다.
1007,5,2015.02.26 23:38,"솔직히 재미 없었습니다. 존나 심각한데 OST는 뭔가 교훈적내용의 미드처럼 나오고,.. 스릴러같으면서도 위기다운 위기가 없고,,.. 그러다 끝나네요. 제가 넘 자극적인것에만 길들여졌나요. 주연배우 연기력은 상당히 좋으나 누구 연기보러간게 아니라서요. "
1008,6,2020.03.12 02:08,아..좀 애매한데....잘 가다가 김 빠지는 듯 함...아쉽..
1009,9,2019.09.15 22:39,결말이 좀 허무.... 르네루소랑 로맨스 기대했는데
1010,10,2019.07.04 10:58,요즘 우리나라 젊은 애들한테 많이 보이는 모습. 워낙 많이 봤는데도 다시 볼 만하다.
1011,6,2019.04.06 19:22,르네루소와 베드신 혹은 최소한 키스장면만 있었어도 별두개 더줬다...
1012,8,2018.09.10 17:08,그래서 도대체 뭘 말하려는 건지 모르겠네요?어떤분 평처럼 자영업이 이렇게 어렵다는 것을 말하려는 건지?아님 현 사회가 점점 더 자극적인 뭔가를 원하는 것에 대한 경고를 하려는 건지? 그럼에도 불구하고 평점 8을 준 것은 영화 자체로는 괜찮은 영화 
1013,9,2015.07.16 19:38,주인공 보는 내내 잭 그레인키가 떠올라서 집중이 조금 안됐던영화. 개인적으로 사장으로선 할만큼 했다고봄. 인도 꼬붕놈이 너무 욕심을 부린게 잘못인거지 멍청한놈을 그때까지 안짜르고 써준것만으로도 충분히 배려심 있었다고 보고 부대표까지 승진시켜줬건만ㅉㅉ 
1014,5,2019.12.08 20:22,"주인공 소시오패스 맞긴 맞는데 영화보시면 두뇌가동력이 명탐정급입니다. 소시오패스 성향보다 천재적인 사이코성향이 더 강하구요.  장그래랑 비교하는 인간 전혀 이해불가. 좀 아는거 대충 갖다 붙이지 않았으면 좋겠고, 한명두명 소시오패스 거리니까 너도나도 소시오패스 거리는건 참.. 그냥 주인공 싸이코패스가 더 맞습니다. 그리고 영화 도입부가 1시간이나 되고 1시간동안 존x지루한거 팩트입니다. 다큐수준이에요. 듣보잡 기레기 일상 담은 다큐영화 시작은 1시간 이후부터~ 1시간 지나서 주인공 소시오패스 연기 나오구요. 그전까지 완전 무난하니까 보다끌꺼면 1시간이후부터 걍 보세요.. 초반 존x게 지루한거 팩트입니다. 끄고싶을정도. "
1015,1,2015.07.12 11:44,배우가 장애인코스프레하는 사람임 오래전생각이다.
1016,6,2015.03.03 19:15,그저 그런 영화 연기는 좋았음
1017,4,2015.03.01 23:21,주연 연기빼곤 볼게없다 다 영화평론가들 수준인가? 재미는 정말 없음 스릴러라기보단 다큐다
1018,5,2015.03.18 11:20,"지루한 부분이 많고 다행히 뒤로가면 스릴러가되는데 광고보고 너무 기대하지마시길,,"
1019,10,2015.08.11 01:17,이 영화는  괴물영화가 아니다. 살아 남기  위해  괴물이  되어 가는 한 마리 짐승의 고독한 질주에 대한 얘기다. 제이크 질렌할은 처절한 본능이 묻어난 연기의 대가인듯.. 초반 27분 봤는데.. 서글퍼서 못 보겠음. 
1020,2,2015.07.26 11:02,그냥  저냥  ㅂㆍ2 ㆍ2ㅁ‥ㄴ만 합ㄴ다
1021,6,2016.10.07 21:11,다소 실망. 진부한 사이코패스 드라마
1022,5,2015.03.12 13:57,알바 참 많네 이런건 영화로 만들기는 부족한 소재네요. 스토리라인도 전혀없고 제이크 연기만 보일뿐..
1023,1,2015.07.20 23:14,죄의식이 전혀 없는 싸이코패스를 미화한 영화..
1024,1,2015.07.12 03:16,평점보고 봤다가 욕나왔음지루지루 멀 이렇게 늘어지게 끌고가나아니 진짜 다들 영화에 엄청 조예가 깊은건가아니면 내가 이상한가에 대해 진지하게 고민해본 영화
1025,2,2018.10.03 11:52,미친놈들 나오는 영화는 내취향이 아니라서...
1026,8,2017.03.11 02:03,나도 주인공처럼 되고 싶다
1027,1,2015.03.08 12:16,처음부터 보는 내내 평점 줄 생각밖에 안남
1028,4,2015.03.06 10:54,마지막 반전이있음..
1029,6,2019.01.08 16:28,연기도 좋고 내용도 흥미로운데 영화의 템포가 굉장히 늘어진다.그리고 영화중반까지 계속 차타고 도착해서 찍고 차타고 도착해서 찍고가 계속 같은 패턴으로 반복되고 정작 영화의 중심 이야기가 너무 늦게 시작되다보니 지루한감이 있다.배우발이 그나마 살린영화 
1030,9,2017.08.31 00:44,할먀랑 섹스장면만 있었더라면 최고의 영화 되을텐데 아쉽 ㅠㅠ
1031,1,2016.12.23 12:09,싸이코연기가 무섭다. 보는내내 멍청한 조수때문에 짜증났다. 곡성은 보고 찝찝하지만 뭔가 생각나고 곱씹을수록 잘만든거 같지만 이영화는 보는내내 불쾌하고 짜증나고 엿같다. 그냥 보지마셈
1032,1,2015.03.05 00:44,제이크연기는매우좋았으나 내용이너무너무지루해요 딱후반부 십분만재미있고끝. 삼십분짜리영화를 두시간으로늘린느낌...아.
1033,5,2015.02.28 15:27,우리라고 뭐 다를것 같아?
1034,10,2017.01.05 22:27,당신은 한번이라도 자신의 일에 미쳐본적이있는가..청춘들에게 고하는 영화.
1035,1,2018.11.04 18:49,이런  OO같은  영화는  첨이다.. 도대체 그냥  즐기라고  만든  공포도  아니고 스릴러도  아니고  그렇다고  결론도 도움될 만한것도  없이 인생을 사이코패스로 잘  살라는  OO같고 영화인지 왜  만든  영화일까 
1036,2,2018.11.02 13:45,노잼에 노잼을 더함. 졸려 죽겠음. 지루함. 유치함.
1037,1,2015.04.08 21:06,아주 그냥 개 싸이코임 소름돋는다
1038,1,2015.06.24 23:35,소시오패스를 연기하는 자체가 모순
1039,3,2015.02.28 00:14,뻔하고 지루하기까지 하면 무슨 말이 더 필요해?
1040,1,2018.12.16 23:37,눈빛부터 맛이 갔네 수많은 성공한 사람들이 저런 과정을 거쳐왔게지? 어이가 없다 결국 파멸할게 뻔함 ㅋ
1041,1,2016.02.20 19:36,평론가 평점이 높다 이건 안봐야겠다
1042,2,2015.03.01 10:41,평점에낚임..다알바여무슨 노잼..
1043,1,2015.03.03 00:21,그냥재미없음 지루하고
1044,3,2015.02.26 20:21,진심 무슨다큐멘터리보는줄알앗음..태어나서평점처음씀
1045,1,2015.02.27 22:35,내평점 여기 리뷰쓴 사람들은 다들 영화에 조예가 깊나보네여평점보고 영화봣는데 망함ㅋㅋ아니 무슨 그냥 사이코이야기ㅋ 지루하고 그렇가고 팩트가 잇는것도 아니고 ㅋㅋㅋ끝도 완전 어이없음 설마 이게 끝!?하는느낌ㅋㅋㅋㅋ돈주고 볼영화는 아닌듯 
1046,1,2015.02.26 21:27,너무 재미없다 무슨 얘기를 하려는건지 명확하지 못하고 산만해
1047,1,2015.05.16 11:19,핵노잼입니다절대보지마세요
1048,1,2015.03.02 21:10,보다나왓다 개지루함ㅋㅋ
